URL,Precio,Referencia,Zona,Disposición,M² edificados,M² del terreno,Dormitorios,Plantas,Barrio Privado,Acepta permuta,Tipo de Propiedad,Estado,Baños,M² de terraza,Año de Construcción,Garajes,Sobre,Cuota inicial,Vivienda Social
https://www.infocasas.com.pe/vendo-casa-area-terreno-497-m2-en-san-antonio-miraflores-ref-803c/191120706,U$S 850.000,H83A10,Miraflores,No aplica,497 m2,497 m2,5,2,,,Casa,Excelente estado,3,,1964,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-300-m2-at-6-dormitorios-en-la-molina-ref-792/191073263,U$S 540.000,EA20C0,La Molina,No aplica,300 m2,300 m2,5,3,,,Casa,Excelente estado,3,,1994,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-5-dorm-buena-ubicacion-cercado-de-lima-ref-838/192338998,U$S 265.000,WE24AF,Lima Cercado,No aplica,200 m2,200 m2,5,3,,,Casa,Excelente estado,3,,1977,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-la-molina-alameda-del-corregidor-excelente-zona/185964396,S/ 1.917.500,F1BDD,La Molina,No aplica,340 m2,512 m2,3,,,,Casa,,,,2009,,No aplica,,
https://www.infocasas.com.pe/vendo-casa-300-m2-at-6-dormitorios-en-la-molina-ref-792/191155059,U$S 540.000,HE9822,La Molina,No aplica,300 m2,300 m2,5,3,,,Casa,Excelente estado,3,,1994,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-5-dorm-buena-ubicacion-cercado-de-lima-ref-838/192252575,U$S 265.000,R84909,Cercado De Lima,No aplica,200 m2,200 m2,5,3,,,Casa,Excelente estado,3,,1977,2,No aplica,,
https://www.infocasas.com.pe/vendo-super-casa-en-villa/188204315,U$S 720.000,T7A61F,Chorrillos,Interior,429 m2,1.195 m2,4,2,,,Casa,Requiere mantenimiento,3,,1987,3,No aplica,,
https://www.infocasas.com.pe/vendo-casa-de-2-pisos-en-san-miguel-a-precio-de-mercado-como-terreno/192232981,U$S 250.000,BEAE36,San Miguel,Al frente,157 m2,181 m2,5,2,,,Casa,Buen estado,3,25 m2,1954,,No aplica,,
https://www.infocasas.com.pe/vendo-casa-1er-piso-lince-limite-san-isidro-av-2-de-mayo-vivienda-u-oficina/186296270,U$S 230.000,ZE736,Lince,Al frente,192 m2,192 m2,4,1,,,Casa,Requiere mantenimiento,2,,1970,1,Otros,,
https://www.infocasas.com.pe/vendo-hermosa-casa-en-valle-hermoso-monterrico/186023544,U$S 495.000,c82B4,Santiago De Surco,Al frente,465 m2,465 m2,4,3,,,Casa,Buen estado,3,10 m2,2024,2,Otros,,
https://www.infocasas.com.pe/vendo-casa-300-m2-at-6-dormitorios-en-la-molina-ref-792/191479633,U$S 540.000,S904E0,La Molina,No aplica,300 m2,300 m2,5,3,,,Casa,Excelente estado,3,,1994,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-en-punta-negra-condominio-mar-y-bosques/186327020,U$S 350.000,ZC68E,Punta Negra,No aplica,220 m2,512 m2,4,1,,,Casa,Excelente estado,3,,2022,3,No aplica,,Si
https://www.infocasas.com.pe/vendo-casa-en-condominio-al-frente-de-upc-av-primavera/189609715,U$S 550.000,T2993F,Santiago De Surco,No aplica,308 m2,636 m2,5,1,,,Casa,Excelente estado,3,,1974,3,No aplica,,
https://www.infocasas.com.pe/vendo-casa-de-playa-asia-playa-azul-ref-840/192296661,U$S 193.000,R44862,Cañete,No aplica,140 m2,140 m2,4,2,,,Casa,Excelente estado,3,,2025,1,No aplica,,
https://www.infocasas.com.pe/vendo-casa-5-dorm-en-cercado-de-lima-ref-838/192190287,U$S 290.000,MD11A2,Lima Cercado,No aplica,200 m2,200 m2,5,3,,,Casa,Excelente estado,3,,1977,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-5-dorm-en-cercado-de-lima-ref-838/192144181,U$S 290.000,A68DB8,Cercado De Lima,No aplica,200 m2,200 m2,5,3,,,Casa,Excelente estado,3,,2017,3,No aplica,,
https://www.infocasas.com.pe/vendo-casa-5-dorm-buena-ubicacion-cercado-de-lima-ref-838/192295424,U$S 265.000,QEF25C,Cercado De Lima,No aplica,200 m2,200 m2,5,3,,,Casa,Excelente estado,3,,1977,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-5-dorm-buena-ubicacion-cercado-de-lima-ref-838/192359575,U$S 265.000,M727CD,Cercado De Lima,No aplica,200 m2,200 m2,5,3,,,Casa,Excelente estado,3,,1977,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-5-dorm-buena-ubicacion-cercado-de-lima-ref-838/192219068,U$S 275.000,P27AB4,Cercado De Lima,No aplica,200 m2,200 m2,5,3,,,Casa,Excelente estado,3,,1977,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-5-dorm-en-cercado-de-lima-ref-838/192181574,U$S 290.000,F436DC,Cercado De Lima,No aplica,200 m2,200 m2,5,3,,,Casa,Excelente estado,3,,1977,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-5-dorm-buena-ubicacion-cercado-de-lima-ref-838/192272869,U$S 265.000,Q88B86,Cercado De Lima,No aplica,200 m2,200 m2,5,3,,,Casa,Excelente estado,3,,1977,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-300-m2-at-6-dormitorios-en-la-molina-ref-792/190508413,U$S 540.000,L5C0BD,La Molina,No aplica,300 m2,300 m2,5,1,,,Casa,Excelente estado,3,,1993,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-5-dorm-buena-ubicacion-cercado-de-lima-ref-838/192325526,U$S 265.000,A57A46,Cercado De Lima,No aplica,200 m2,200 m2,5,3,,,Casa,Excelente estado,3,,1977,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-area-terreno-497-m2-en-san-antonio-miraflores-ref-803c/191580281,U$S 850.000,QFED8C,Miraflores,No aplica,497 m2,497 m2,5,2,,,Casa,Excelente estado,3,,1964,2,No aplica,,
https://www.infocasas.com.pe/vendo-estupenda-casa-zona-comercial/191909852,U$S 1.600.000,OE2936,San Isidro,Al frente,487 m2,496 m2,4,2,,,Casa,Requiere mantenimiento,3,,1990,3,Avenida,,
https://www.infocasas.com.pe/vendo-casa-5-dorm-en-cercado-de-lima-ref-838/192003161,U$S 290.000,LC688B,Cercado De Lima,No aplica,200 m2,200 m2,5,3,,,Casa,Excelente estado,3,,1977,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-area-terreno-497-m2-en-san-antonio-miraflores-ref-803c/191519009,U$S 850.000,EBAB34,Miraflores,No aplica,497 m2,497 m2,5,2,,,Casa,Excelente estado,3,,1964,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-5-dorm-en-cercado-de-lima-ref-838/192096473,U$S 290.000,R9F5AA,Cercado De Lima,No aplica,200 m2,200 m2,5,3,,,Casa,Excelente estado,3,,1977,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-300-m2-at-6-dormitorios-en-la-molina-ref-792/191576535,U$S 540.000,MC03DB,La Molina,No aplica,300 m2,300 m2,5,3,,,Casa,Excelente estado,3,,1994,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-area-terreno-497-m2-en-san-antonio-miraflores-ref-803c/191416475,U$S 850.000,X6CCF8,Miraflores,No aplica,497 m2,497 m2,5,2,,,Casa,Excelente estado,3,,1964,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-5-dorm-en-cercado-de-lima-ref-838/191847603,U$S 290.000,XCF544,Cercado De Lima,No aplica,200 m2,200 m2,5,3,,,Casa,Excelente estado,3,,1977,2,No aplica,,
https://www.infocasas.com.pe/vendo-casa-5-dorm-en-cercado-de-lima-ref-838/192126345,U$S 290.000,L6410D,Cercado De Lima,No aplica,200 m2,200 m2,5,3,,,Casa,Excelente estado,3,,1977,2,No aplica,,
