URL,Precio,Referencia,Zona,Disposición,M² edificados,M² del terreno,Dormitorios,Plantas,Barrio Privado,Acepta permuta,Tipo de Propiedad,Estado,Baños,M² de terraza,Año de Construcción,Garajes,Sobre,Cuota inicial,Vivienda Social
https://www.infocasas.com.pe/vendo-hermoso-flat-frente-a-parque-miraflores-6to-piso-vista-exterior/192117172,U$S 279.000,A475CC,Miraflores,Al frente,128 m2,,2,3,,Si,Departamento,Excelente estado,3,,2014,2,Rambla,,Si
https://www.infocasas.com.pe/vendo-bonito-flat-en-malecon-rivera-norte-san-bartolo/190677337,S/ 350.610,D1A2FC,San Bartolo,No aplica,65 m2,,2,,,,Departamento,Buen estado,2,,,,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-70-m2-en-miraflores-calle-mendiburu/191607257,U$S 149.000,B5EB65,Miraflores,Interior,70 m2,,2,1,,,Departamento,Buen estado,2,70 m2,2015,1,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-distrito-barranco/190795674,U$S 239.000,NE6716,Barranco,No aplica,120 m2,,2,1,,,Departamento,Buen estado,2,,2020,1,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-en-2do-piso-las-praderas-de-la-molina/192540687,U$S 140.000,V21DC3,La Molina,Al frente,116 m2,,3,1,,,Departamento,Buen estado,3,,2003,1,Otros,,
https://www.infocasas.com.pe/vendo-departamento-de-m-tres-dormitorios-parque-tradicines-miraflores/190678616,S/ 1.045.000,O67F85,Miraflores,No aplica,111 m2,,3,,,,Departamento,A estrenar,3,,,2,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-m-con-vista-a-parque-en-valle-hermoso-monterrico/190525582,S/ 9.065.000,AF73D4,Santiago De Surco,No aplica,135 m2,,3,,,,Departamento,Buen estado,2,,,2,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-en-la-urbanizacin-fovipol/191170219,S/ 473.600,R8AA3A,La Molina,No aplica,74 m2,,3,,,,Departamento,Buen estado,2,,,1,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-120-m2-de-tres-dormitorios-balcon-con-vista-a-la-calle/190678614,S/ 798.000,R8FA55,Miraflores,No aplica,120 m2,,3,1,,,Departamento,Buen estado,2,,,2,No aplica,,
https://www.infocasas.com.pe/vendo-departamemto-de-m-dos-dormitorios-en-miraflores-mariscal-lamar/190521076,S/ 444.000,UA99F2,Miraflores,No aplica,65 m2,,2,,,,Departamento,Buen estado,1,,,,No aplica,,
https://www.infocasas.com.pe/vendo-3-dorm-departamento-duplex-estreno-en-san-miguel/191147740,S/ 730.922,Y3E9FC,San Miguel,No aplica,107 m2,,3,1,,,Departamento,A estrenar,3,,San Miguel,1,No aplica,,
https://www.infocasas.com.pe/vendo-departamentos-en-las-colinas-de-la-molina/192152643,U$S 135.000,F6BB6A,La Molina,Interior,130 m2,,3,3,,,Departamento,A estrenar,3,,2017,1,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-dos-dormitorios-en-malecon-julio/190678591,S/ 1.073.000,EA22BE,Miraflores,No aplica,167 m2,,2,,,,Departamento,Buen estado,2,,,1,No aplica,,
https://www.infocasas.com.pe/vendo-acogedor-dpto-er-pso-dor-urb-la-calera-surquillo/190678605,S/ 513.000,RA58AB,Surquillo,No aplica,85 m2,,3,,,,Departamento,Buen estado,2,,,1,No aplica,,
