,Dormitorios,Baños,Garajes,M² edificados,Tipo de Propiedad,Estado,Zona_macro,Precio
0,3.0,2.0,0.0,120.0,Casa,Excelente estado,Otros,150000.0
1,4.0,3.0,0.0,124.0,Casa,Buen estado,Lima Norte,150000.0
2,4.0,3.0,1.0,165.0,Casa,Buen estado,Lima Centro,300000.0
3,4.0,3.0,1.0,450.0,Casa,Excelente estado,Lima Centro,540000.0
4,5.0,3.0,2.0,460.0,Casa,Buen estado,Lima Centro,560000.0
5,3.0,3.0,2.0,365.0,Casa,Otro,Lima Sur,395000.0
6,5.0,3.0,1.0,160.0,Casa,Buen estado,Lima Centro,240000.0
7,3.0,3.0,1.0,220.0,Casa,Buen estado,Lima Norte,300000.0
8,5.0,3.0,0.0,210.0,Casa,Buen estado,Callao,124990.0
9,4.0,3.0,2.0,300.0,Casa,Buen estado,Lima Centro,980000.0
10,4.0,3.0,1.0,268.0,Casa,Buen estado,Lima Sur,1725000.0
11,4.0,3.0,1.0,240.0,Casa,Otro,Lima Centro,320000.0
12,5.0,3.0,2.0,641.0,Casa,Buen estado,Lima Centro,780000.0
13,5.0,3.0,1.0,200.0,Casa,Buen estado,Lima Norte,340000.0
14,4.0,3.0,2.0,266.0,Casa,Excelente estado,Lima Centro,650000.0
15,5.0,3.0,1.0,400.0,Casa,Excelente estado,Lima Este,420000.0
16,5.0,3.0,1.0,200.0,Casa,Buen estado,Lima Sur,380000.0
17,3.0,3.0,1.0,240.0,Casa,Buen estado,Lima Centro,520000.0
18,4.0,2.0,1.0,265.0,Casa,Buen estado,Lima Centro,220000.0
19,5.0,3.0,1.0,173.0,Casa,Buen estado,Lima Sur,240000.0
20,3.0,3.0,3.0,523.0,Casa,Otro,Lima Centro,1200000.0
21,3.0,3.0,1.0,125.0,Casa,Excelente estado,Lima Centro,195000.0
22,5.0,3.0,0.0,343.0,Casa,Buen estado,Lima Norte,160000.0
23,2.0,2.0,3.0,130.0,Casa,Otro,Lima Centro,510000.0
24,5.0,3.0,1.0,363.0,Casa,Excelente estado,Lima Sur,250900.0
25,5.0,3.0,1.0,500.0,Casa,Excelente estado,Lima Sur,1500000.0
27,3.0,3.0,5.0,200.0,Casa,Buen estado,Lima Sur,300000.0
28,5.0,2.0,3.0,473.0,Casa,Buen estado,Lima Sur,650000.0
29,5.0,3.0,4.0,416.0,Casa,Buen estado,Lima Centro,900000.0
31,4.0,3.0,4.0,650.0,Casa,Buen estado,Lima Sur,1549500.0
32,3.0,3.0,3.0,130.0,Casa,Buen estado,Otros,215000.0
33,5.0,3.0,3.0,260.0,Casa,Excelente estado,Otros,330000.0
34,5.0,3.0,2.0,497.0,Casa,Excelente estado,Lima Centro,850000.0
35,5.0,3.0,1.0,120.0,Casa,Buen estado,Lima Este,170000.0
36,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
37,4.0,3.0,2.0,251.0,Casa,Excelente estado,Lima Sur,210000.0
38,5.0,3.0,2.0,200.0,Casa,Excelente estado,Lima Centro,290000.0
39,4.0,3.0,2.0,500.0,Casa,Buen estado,Lima Centro,600000.0
40,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
41,5.0,3.0,2.0,497.0,Casa,Excelente estado,Lima Centro,850000.0
42,3.0,1.0,1.0,89.0,Casa,Buen estado,Lima Norte,80000.0
43,4.0,3.0,2.0,200.0,Casa,Excelente estado,Lima Centro,290000.0
44,5.0,3.0,2.0,497.0,Casa,Excelente estado,Lima Centro,850000.0
46,5.0,3.0,1.0,200.0,Casa,Excelente estado,Lima Centro,290000.0
47,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
49,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
50,5.0,3.0,2.0,497.0,Casa,Excelente estado,Lima Centro,850000.0
51,5.0,3.0,2.0,497.0,Casa,Excelente estado,Lima Centro,850000.0
52,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
53,5.0,3.0,2.0,497.0,Casa,Excelente estado,Lima Centro,895000.0
54,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
55,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
56,5.0,3.0,2.0,497.0,Casa,Excelente estado,Lima Centro,895000.0
57,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
58,4.0,3.0,2.0,281.0,Casa,Buen estado,Lima Centro,980000.0
59,5.0,3.0,2.0,497.0,Casa,Excelente estado,Lima Centro,895000.0
60,3.0,3.0,2.0,320.0,Casa,Excelente estado,Lima Sur,685000.0
61,5.0,3.0,2.0,497.0,Casa,Excelente estado,Lima Centro,895000.0
62,5.0,3.0,2.0,497.0,Casa,Excelente estado,Lima Centro,895000.0
63,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
64,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
65,5.0,3.0,2.0,497.0,Casa,Excelente estado,Lima Centro,895000.0
66,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
67,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
68,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
69,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
70,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
71,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
72,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
73,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
74,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
75,5.0,3.0,3.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
76,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
77,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
78,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
79,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
80,4.0,3.0,1.0,270.0,Casa,Otro,Lima Centro,540000.0
81,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
82,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
83,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
85,5.0,3.0,2.0,497.0,Casa,Excelente estado,Lima Centro,850000.0
86,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
87,5.0,3.0,1.0,300.0,Casa,Buen estado,Lima Sur,120000.0
88,5.0,3.0,2.0,300.0,Casa,Excelente estado,Lima Centro,540000.0
89,3.0,3.0,3.0,315.0,Casa,Otro,Lima Centro,1250000.0
90,5.0,3.0,3.0,600.0,Casa,Buen estado,Lima Centro,1300000.0
